Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
466	0.525	0	-18	0
467	0.526	0	-18	0
468	0.527	0	-18	0
469	0.528	0	-18	0
470	0.529	0	-18	0
471	0.53	0	-18	0
472	0.531	0	-18	0
473	0.533	0	-18	0
474	0.534	0	-18	0
475	0.535	0	-18	0
476	0.536	0	-17	0
477	0.537	0	-17	0
478	0.538	0	-17	0
479	0.539	0	-17	0
480	0.54	0	-17	0
481	0.542	0	-17	0
482	0.543	0	-17	0
483	0.544	0	-17	0
484	0.545	0	-17	0
485	0.546	0	-17	0
486	0.547	0	-17	0
487	0.548	0	-17	0
488	0.549	0	-17	0
489	0.551	0	-17	0
490	0.552	0	-17	0
491	0.553	0	-17	0
492	0.554	0	-17	0
493	0.555	0	-17	0
494	0.556	0	-17	0
495	0.557	0	-17	0
496	0.559	0	-17	0
497	0.56	0	-17	0
498	0.561	0	-17	0
499	0.562	0	-17	0
500	0.563	0	-17	0
501	0.564	0	-17	0
502	0.565	0	-17	0
503	0.566	0	-17	0
504	0.568	0	-17	0
505	0.569	0	-17	0
506	0.57	0	-17	0
507	0.571	0	-17	0
508	0.572	0	-17	0
509	0.573	0	-17	0
510	0.574	0	-17	0
511	0.575	0	-17	0
512	0.577	0	-17	0
513	0.578	0	-17	0
514	0.579	0	-17	0
515	0.58	0	-17	0
516	0.581	0	-17	0
517	0.582	0	-17	0
518	0.583	0	-17	0
519	0.584	0	-17	0
520	0.586	0	-17	0
521	0.587	0	-17	0
522	0.588	0	-17	0
523	0.589	0	-17	0
524	0.59	0	-17	0
525	0.591	0	-17	0
526	0.592	0	-17	0
527	0.593	0	-17	0
528	0.595	0	-17	0
529	0.596	0	-17	0
530	0.597	0	-17	0
531	0.598	0	-17	0
532	0.599	0	-17	0
533	0.6	0	-17	0
534	0.601	0	-17	0
535	0.602	0	-17	0
536	0.604	0	-17	0
537	0.605	0	-17	0
538	0.606	0	-17	0
539	0.607	0	-17	0
540	0.608	0	-17	0
541	0.609	0	-17	0
542	0.61	0	-17	0
543	0.611	0	-17	0
544	0.613	0	-17	0
545	0.614	0	-17	0
546	0.615	0	-17	0
547	0.616	0	-17	0
548	0.617	0	-17	0
549	0.618	0	-17	0
550	0.619	0	-17	0
551	0.62	0	-17	0
552	0.622	0	-17	0
553	0.623	0	-17	0
554	0.624	0	-17	0
555	0.625	0	-16	0
556	0.626	0	-16	0
557	0.627	0	-16	0
558	0.628	0	-16	0
559	0.63	0	-16	0
560	0.631	0	-16	0
561	0.632	0	-16	0
562	0.633	0	-16	0
563	0.634	0	-16	0
564	0.635	0	-16	0
565	0.636	0	-16	0
566	0.637	0	-16	0
567	0.639	0	-16	0
568	0.64	0	-16	0
569	0.641	0	-16	0
570	0.642	0	-16	0
571	0.643	0	-16	0
572	0.644	0	-16	0
573	0.645	0	-16	0
